,page,country,rev_id,quality,Population
0,Bir I of Kanem,Chad,355319463,Stub,16877000
1,Abdullah II of Kanem,Chad,498683267,Stub,16877000
2,Salmama II of Kanem,Chad,565745353,Stub,16877000
3,Kuri I of Kanem,Chad,565745365,Stub,16877000
4,Mohammed I of Kanem,Chad,565745375,Stub,16877000
5,Kuri II of Kanem,Chad,669719757,Stub,16877000
6,Bir II of Kanem,Chad,670893206,Stub,16877000
7,Mahamat Hissene,Chad,693055898,Stub,16877000
8,Othman I,Chad,705432607,Stub,16877000
9,Alphonse Kotiga,Chad,707593108,Stub,16877000
10,Oueddei Kichidemi,Chad,708346649,Start,16877000
11,Dunama I,Chad,710675092,Stub,16877000
12,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,16877000
13,Djibrine Kerallah,Chad,712971263,Stub,16877000
14,Maurice Ngangtar,Chad,712971315,Stub,16877000
15,Idriss Miskine,Chad,712971738,Stub,16877000
16,Laoukein Kourayo Médard,Chad,716886170,Stub,16877000
17,Nadji Madou,Chad,716886788,Stub,16877000
18,Noël Milarew Odingar,Chad,716891799,Start,16877000
19,Yaya Dillo Djérou,Chad,717733209,Stub,16877000
20,Acheikh Ibn-Oumar,Chad,719821590,Start,16877000
21,Quatre Sou Quatre,Chad,720066754,Stub,16877000
22,Ali Gazi,Chad,722563340,Stub,16877000
23,Mahamat Djarma Khatir,Chad,725132042,Stub,16877000
24,Dunama IX Lefiami,Chad,731749611,Stub,16877000
25,Dawud of Kanem,Chad,736550266,Stub,16877000
26,Ahmed Koulamallah,Chad,738855197,Start,16877000
27,Abbo Nassour,Chad,741369486,C,16877000
28,Abdel Kader Baba-Laddé,Chad,742213176,Stub,16877000
29,Hummay,Chad,747271475,Stub,16877000
30,Ngarlejy Yorongar,Chad,751304544,C,16877000
31,Saleh Kezabo,Chad,751380073,Stub,16877000
32,Bourkou Louise Kabo,Chad,757072468,Start,16877000
33,Brahim Koulamallah,Chad,757802238,Stub,16877000
34,Saadie Goukouni Weddeye,Chad,757842614,Start,16877000
35,Mahamoud Adam Béchir,Chad,762579466,Start,16877000
36,Djidingar Dono Ngardoum,Chad,764133533,Stub,16877000
37,Youssouf Saleh Abbas,Chad,771052289,C,16877000
38,Koibla Djimasta,Chad,774223245,Start,16877000
39,Nassour Guelendouksia Ouaido,Chad,774223248,C,16877000
40,Joseph Brahim Seid,Chad,777478442,Stub,16877000
41,Joseph Yodoyman,Chad,777550078,Start,16877000
42,Antoine Bangui,Chad,782638002,Start,16877000
43,Ibrahim IV of Bornu,Chad,785614014,Stub,16877000
44,Hadjé Halimé,Chad,786449636,C,16877000
45,Youssouf Togoïmi,Chad,787390241,Start,16877000
46,Adoum Younousmi,Chad,787719236,Start,16877000
47,François Tombalbaye,Chad,787738541,C,16877000
48,Ahmat Hassaballah Soubiane,Chad,787910771,Stub,16877000
49,Ahmad Allam-Mi,Chad,787921293,Start,16877000
50,Laotegguelnodji Koumtog,Chad,788009613,Stub,16877000
51,Mahamat Ali Adoum,Chad,788014671,Start,16877000
52,Mahamat Saleh Annadif,Chad,788658822,Start,16877000
53,Mohamed Bechir-Sow,Chad,788827248,Stub,16877000
54,Gontchomé Sahoulba,Chad,788828388,Start,16877000
55,Gabriel Lisette,Chad,788828519,Start,16877000
56,Ali II of Bornu,Chad,788999424,Stub,16877000
57,Arabi El Goni,Chad,789126126,Stub,16877000
58,Dunama Dabbalemi,Chad,789935196,Start,16877000
59,Idris Alooma,Chad,792734868,Start,16877000
60,Mahamat Nouri,Chad,792954115,B,16877000
61,Idriss Ndele Moussa,Chad,796654025,Stub,16877000
62,Mbaydoum Simeon,Chad,796690873,Stub,16877000
63,Ngarindo Milengar,Chad,796700718,Stub,16877000
64,List of Prime Ministers of Chad,Chad,797747674,Start,16877000
65,Idriss Déby,Chad,798286150,C,16877000
66,Saleh Kebzabo,Chad,798626040,C,16877000
67,Moussa Faki,Chad,799043301,C,16877000
68,Kalzeubet Pahimi Deubet,Chad,799413193,Stub,16877000
69,Haroun Kabadi,Chad,799447895,Start,16877000
70,Nagoum Yamassoum,Chad,799447995,Start,16877000
71,Outel Bono,Chad,799448338,Start,16877000
72,Ahmat Acyl,Chad,799902492,C,16877000
73,Djimrangar Dadnadji,Chad,800133552,Start,16877000
74,Delwa Kassiré Koumakoye,Chad,801029539,C,16877000
75,Fidèle Moungar,Chad,801192255,C,16877000
76,Jean Alingué Bawoyeu,Chad,801192303,B,16877000
77,Emmanuel Nadingar,Chad,801573576,C,16877000
78,Roger Djikisna,Chad,801583221,Stub,16877000
79,Firmin Djidingar,Chad,801583260,Stub,16877000
80,Idris I of Kanem,Chad,802874918,Stub,16877000
81,Vice President of Chad,Chad,803166509,Stub,16877000
82,Hissène Habré,Chad,803166806,GA,16877000
83,Negue Djogo,Chad,803166989,Start,16877000
84,Wadel Abdelkader Kamougué,Chad,803167152,C,16877000
85,Félix Malloum,Chad,803167336,Start,16877000
86,Lol Mahamat Choua,Chad,803167424,C,16877000
87,Goukouni Oueddei,Chad,803167990,C,16877000
88,Albert Pahimi Padacké,Chad,803433107,C,16877000
89,List of heads of state of Chad,Chad,803812011,Start,16877000
90,Elise Loum,Chad,804773540,Start,16877000
91,Agnes Allafi,Chad,805493169,Start,16877000
92,Christine Georges Diguibaye,Chad,806337653,Stub,16877000
93,Pascal Yoadimnadji,Chad,806508985,Start,16877000
94,Aissa Koli,Chad,806616268,Start,16877000
95,Omar I of Kanem,Chad,807425129,Start,16877000
96,Information Minister of the Palestinian National Authority,Palestinian Territory,393276188,Stub,5008000
97,Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202,Start,5008000
98,Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729,Start,5008000
99,Hossam Arafat (politician),Palestinian Territory,680933208,Stub,5008000
100,Tawfik Tirawi,Palestinian Territory,701106976,Start,5008000
101,Isam al-Qadi,Palestinian Territory,706650943,Stub,5008000
102,Hussein al-Araj,Palestinian Territory,707669406,Stub,5008000
103,Mohammad Barghouti,Palestinian Territory,708269321,Stub,5008000
104,Ahmed Khalidi,Palestinian Territory,708495719,Stub,5008000
105,Health Minister of the Palestinian National Authority,Palestinian Territory,708817890,Stub,5008000
106,Qais Abd al-Karim,Palestinian Territory,709529097,Stub,5008000
107,Mahmoud Aloul,Palestinian Territory,709567584,Stub,5008000
108,Victor Batarseh,Palestinian Territory,709994434,Stub,5008000
109,Hanna Nasser (academic),Palestinian Territory,710133339,Start,5008000
110,Anastas Hanania,Palestinian Territory,710390049,Start,5008000
111,Joudeh George Murqos,Palestinian Territory,710676772,Stub,5008000
112,Ali al-Sartawi,Palestinian Territory,710990363,Stub,5008000
113,Jamal Tirawi,Palestinian Territory,712310215,Start,5008000
114,Samir Abu Eisheh,Palestinian Territory,713203735,Stub,5008000
115,Sami Taha,Palestinian Territory,713505054,Start,5008000
116,Ayyub Musallam,Palestinian Territory,714176771,Stub,5008000
117,Hajj Essa Hamed,Palestinian Territory,714181175,Start,5008000
118,Hasan Tahboub,Palestinian Territory,714208891,Stub,5008000
119,Hanna Nasser,Palestinian Territory,714586856,Stub,5008000
120,Ghazi Hanania,Palestinian Territory,715125381,Stub,5008000
121,Amin Abd al-Hadi,Palestinian Territory,716425885,Stub,5008000
122,Samir Hulileh,Palestinian Territory,717174805,Start,5008000
123,Hatem Qafisha,Palestinian Territory,717350346,Stub,5008000
124,Nayef Rajoub,Palestinian Territory,717907429,Stub,5008000
125,Ghassan Shakaa,Palestinian Territory,720225559,Stub,5008000
126,Salim Zanoun,Palestinian Territory,720541817,Stub,5008000
127,Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476,Stub,5008000
128,Umm Nidal,Palestinian Territory,729635985,C,5008000
129,Aref al-Dajani,Palestinian Territory,730565205,Start,5008000
130,Faed Mustafa,Palestinian Territory,730612889,Stub,5008000
131,Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909,B,5008000
132,Samiha Khalil,Palestinian Territory,737316891,Start,5008000
133,Imil Jarjoui,Palestinian Territory,738485209,Stub,5008000
134,Abu Zakaria al-Jamal,Palestinian Territory,740251014,Stub,5008000
135,Mustafa al-Khalidi,Palestinian Territory,740562507,Stub,5008000
136,Samir Ghawshah,Palestinian Territory,741240899,Start,5008000
137,Fuad Kokaly,Palestinian Territory,742810698,Stub,5008000
138,Janet Mikhail,Palestinian Territory,742930612,Stub,5008000
139,Hind Khoury,Palestinian Territory,744229617,Stub,5008000
140,Saloum Cohen,Palestinian Territory,744680083,Stub,5008000
141,Ahmed Majdalani,Palestinian Territory,745445418,Start,5008000
142,Faidi al-Alami,Palestinian Territory,746561126,Stub,5008000
143,Arafat scarf,Palestinian Territory,752269980,Stub,5008000
144,Zuhir al-Qaisi,Palestinian Territory,754951299,C,5008000
145,Mohammed Shabir,Palestinian Territory,754960024,Start,5008000
146,Said Seyam,Palestinian Territory,755358806,C,5008000
147,Atef Adwan,Palestinian Territory,756834998,Start,5008000
148,Moussa Arafat,Palestinian Territory,756836183,Start,5008000
149,Khouloud Daibes,Palestinian Territory,757565638,Start,5008000
150,Nahid al-Rayyis,Palestinian Territory,759387598,Start,5008000
151,Rawhi Fattouh,Palestinian Territory,760357919,Start,5008000
152,Wasfi Kabha,Palestinian Territory,760375386,Stub,5008000
153,Omar Hammayil,Palestinian Territory,760380012,Stub,5008000
154,Mohammed Milhim,Palestinian Territory,760380700,Stub,5008000
155,Faisal Husseini,Palestinian Territory,765742925,Start,5008000
156,Haidar Abdel-Shafi,Palestinian Territory,766784372,Start,5008000
157,Nasser al-Shaer,Palestinian Territory,766840809,Start,5008000
158,Omar Abd al-Razaq,Palestinian Territory,766847361,Stub,5008000
159,Adnan al-Husayni,Palestinian Territory,767482479,Stub,5008000
160,Ziad Abu Amr,Palestinian Territory,767881055,Start,5008000
161,Ziad Abuzayyad,Palestinian Territory,768374386,Start,5008000
162,Azzam al-Ahmad,Palestinian Territory,769135700,Stub,5008000
163,Leila Shahid,Palestinian Territory,769328020,Start,5008000
164,Sharm El Sheikh Memorandum,Palestinian Territory,771217707,Start,5008000
165,Hussein al-Husayni,Palestinian Territory,773002344,Start,5008000
166,Riyad al-Maliki,Palestinian Territory,773227993,Start,5008000
167,Yasser Abed Rabbo,Palestinian Territory,774821388,C,5008000
168,Isra al-Modallal,Palestinian Territory,775535912,Start,5008000
169,Jamal Abu Samhadana,Palestinian Territory,775898615,C,5008000
170,Sufian Abu Zaida,Palestinian Territory,776289919,Start,5008000
171,Taysir Khalid,Palestinian Territory,776386870,Stub,5008000
172,Ibrahim Nassar,Palestinian Territory,776831011,Start,5008000
173,Anwar Khatib,Palestinian Territory,777026878,Start,5008000
174,Jamil Majdalawi,Palestinian Territory,779034357,Stub,5008000
175,Foreign Affairs Minister of the Palestinian National Authority,Palestinian Territory,779105366,Start,5008000
176,Rabiha Diab,Palestinian Territory,779367907,Stub,5008000
177,Ahmed Hilmi Pasha,Palestinian Territory,782105397,C,5008000
178,Majida Al-Masri,Palestinian Territory,783041670,Stub,5008000
179,Emil Ghuri,Palestinian Territory,784373796,Stub,5008000
180,Ali Jarbawi,Palestinian Territory,784662302,Start,5008000
181,Jamal al-Jamal,Palestinian Territory,784977752,Start,5008000
182,Jamal al-Husayni,Palestinian Territory,785938135,B,5008000
183,Musa al-Husayni,Palestinian Territory,785938199,B,5008000
184,Mustafa Barghouti,Palestinian Territory,787198183,C,5008000
185,Abdel Hafiz Nofal,Palestinian Territory,787385830,Start,5008000
186,Zaki al-Ghul,Palestinian Territory,787447130,Stub,5008000
187,Oslo I Accord,Palestinian Territory,787453135,C,5008000
188,Adly Yaish,Palestinian Territory,787691185,Stub,5008000
189,Intissar al-Wazir,Palestinian Territory,788004334,Start,5008000
190,Muhammad Abu Tir,Palestinian Territory,788019130,C,5008000
191,"Palestinian general election, 1996",Palestinian Territory,788023506,C,5008000
192,Protocol Concerning the Redeployment in Hebron,Palestinian Territory,788026998,C,5008000
193,Yousef al-Khalidi,Palestinian Territory,788159128,Stub,5008000
194,List of mayors of Nablus,Palestinian Territory,788189214,Stub,5008000
195,Khalil al-Hayya,Palestinian Territory,788437086,Stub,5008000
196,President of the Palestinian National Authority,Palestinian Territory,788509815,B,5008000
197,Fathi Ahmad Hammad,Palestinian Territory,788591724,Stub,5008000
198,Abdullah Rimawi,Palestinian Territory,788953220,GA,5008000
199,Yahya Hammuda,Palestinian Territory,788988278,Stub,5008000
200,Hani al-Hassan,Palestinian Territory,789228790,Start,5008000
201,Bashir Barghouti,Palestinian Territory,790695172,Start,5008000
202,Bassam as-Salhi,Palestinian Territory,790721748,Stub,5008000
203,Khalida Jarrar,Palestinian Territory,791881528,GA,5008000
204,Kamel al-Budeiri,Palestinian Territory,792611747,Start,5008000
205,Zuheir Mohsen,Palestinian Territory,792615206,C,5008000
206,Abdel-Razak al-Yehiyeh,Palestinian Territory,793718428,Start,5008000
207,Abu Ali Mustafa,Palestinian Territory,794170874,Start,5008000
208,Salah Khalaf,Palestinian Territory,794482018,C,5008000
209,Kamal Nasser,Palestinian Territory,795004000,Start,5008000
210,Current members of Palestinian Legislative Council,Palestinian Territory,795648388,Start,5008000
211,Fathi Hamad,Palestinian Territory,796124047,Start,5008000
212,Musa Alami,Palestinian Territory,796697881,C,5008000
213,Palestinian Declaration of Independence,Palestinian Territory,796911861,C,5008000
214,Ahmad Kurd,Palestinian Territory,796924085,Stub,5008000
215,Amin al-Majaj,Palestinian Territory,796961464,Start,5008000
216,Aziz Duwaik,Palestinian Territory,797021613,C,5008000
217,Ahmed Yassin,Palestinian Territory,797122322,GA,5008000
218,Hanan Ashrawi,Palestinian Territory,797806716,C,5008000
219,Cause of Yasser Arafat's death,Palestinian Territory,798100387,B,5008000
220,Kassim Al-Rimawi,Palestinian Territory,798262559,Start,5008000
221,Ibrahim Abu-Lughod,Palestinian Territory,798282902,C,5008000
222,Islah Jad,Palestinian Territory,798331360,Start,5008000
223,Issam Sartawi,Palestinian Territory,798732432,C,5008000
224,Marwan Barghouti,Palestinian Territory,798913975,GA,5008000
225,Mohammad Shtayyeh,Palestinian Territory,799023109,C,5008000
226,Mohammed Dahlan,Palestinian Territory,799023535,C,5008000
227,Nabil Shaath,Palestinian Territory,799072017,Start,5008000
228,Nabeel Kassis,Palestinian Territory,799209138,Start,5008000
229,Mahmoud al-Mabhouh,Palestinian Territory,799802471,GA,5008000
230,Qadura Fares,Palestinian Territory,799858795,Stub,5008000
231,Leila Khaled,Palestinian Territory,800067783,C,5008000
232,Muhammad Nimr al-Hawari,Palestinian Territory,800264686,C,5008000
233,Wadie Haddad,Palestinian Territory,800268417,Start,5008000
234,Munib al-Masri,Palestinian Territory,800663648,C,5008000
235,Suha Arafat,Palestinian Territory,800718761,C,5008000
236,Taba Summit,Palestinian Territory,800748567,C,5008000
237,Sari Nusseibeh,Palestinian Territory,800949001,C,5008000
238,Education Minister of the Palestinian National Authority,Palestinian Territory,801102332,Start,5008000
239,Yaqub al-Ghusayn,Palestinian Territory,801214518,Start,5008000
240,Khaled Mashal,Palestinian Territory,801299475,C,5008000
241,Ziad Abu Ein,Palestinian Territory,801335922,C,5008000
242,Zuhdi Labib Terzi,Palestinian Territory,801507800,Start,5008000
243,Raghib al-Nashashibi,Palestinian Territory,801867039,Start,5008000
244,Jamila Abdallah Taha al-Shanti,Palestinian Territory,802082257,Stub,5008000
245,Jibril Rajoub,Palestinian Territory,802302873,C,5008000
246,Abdelrahman al-Dajani,Palestinian Territory,802436402,Stub,5008000
247,Ahmad Agha Duzdar,Palestinian Territory,802436510,Stub,5008000
248,Musa al-Alami (mayor of Jerusalem),Palestinian Territory,802436655,Stub,5008000
249,Hussam ad-Din Jarallah,Palestinian Territory,802438226,Start,5008000
250,As'ad Shukeiri,Palestinian Territory,802444446,Stub,5008000
251,Eyad al-Sarraj,Palestinian Territory,802495061,Start,5008000
252,Abdel Aziz al-Rantisi,Palestinian Territory,802598153,C,5008000
253,Fatima Bernawi,Palestinian Territory,802835604,Start,5008000
254,Ahmad Sa'adat,Palestinian Territory,802968215,C,5008000
255,Salah Shehade,Palestinian Territory,803242304,C,5008000
256,Mahmoud Abbas,Palestinian Territory,803433440,B,5008000
257,Yasser Arafat,Palestinian Territory,804075706,FA,5008000
258,Ahmad Shukeiri,Palestinian Territory,804132518,Start,5008000
259,10 agorot controversy,Palestinian Territory,804292510,Start,5008000
260,2000 Camp David Summit,Palestinian Territory,804914588,B,5008000
261,Amin al-Husseini,Palestinian Territory,804940228,B,5008000
262,Adel Zawati,Palestinian Territory,804957442,Start,5008000
263,Omar Barghouti,Palestinian Territory,805306238,C,5008000
264,Arab Money,Palestinian Territory,805321868,C,5008000
265,Ghassan Khatib,Palestinian Territory,805441005,Start,5008000
266,Ahmad Toukan,Palestinian Territory,805811873,Start,5008000
267,Khalil al-Wazir,Palestinian Territory,806359448,B,5008000
268,Ismail Haniyeh,Palestinian Territory,806939531,C,5008000
269,Nizar Rayan,Palestinian Territory,807364845,GA,5008000
270,Mahmoud al-Zahar,Palestinian Territory,807444564,C,5008000
271,Hakam Balawi,Palestinian Territory,807459429,Start,5008000
272,Yunis Al Astal,Palestinian Territory,807462818,Start,5008000
273,Yos Por,Cambodia,393822005,Stub,15497000
274,Than Sina,Cambodia,671073599,Stub,15497000
275,Ieu Pannakar,Cambodia,712085445,Stub,15497000
276,Taing Sunlay,Cambodia,713507166,Stub,15497000
277,Dul Koeun,Cambodia,714524609,Stub,15497000
278,Ly Kim Leang,Cambodia,714524624,Stub,15497000
279,Chhor Leang Huot,Cambodia,714524714,Stub,15497000
280,Thak Lany,Cambodia,714524870,Stub,15497000
281,Sok San,Cambodia,714525029,Stub,15497000
282,Tep Ngorn,Cambodia,714528164,Stub,15497000
283,Chan Cheng,Cambodia,714528251,Stub,15497000
284,Nhim Vanda,Cambodia,714528803,Stub,15497000
285,Pen Panha,Cambodia,714528886,Stub,15497000
286,Sieng Nam,Cambodia,714529109,Stub,15497000
287,So Khun,Cambodia,714529370,Stub,15497000
288,Nou Sam,Cambodia,714529507,Stub,15497000
289,Rath Sarem,Cambodia,716812326,Stub,15497000
290,Kong Vibol,Cambodia,726543264,Stub,15497000
291,Monh Saphan,Cambodia,726543284,Stub,15497000
292,Uk Rabun,Cambodia,726543336,Stub,15497000
293,Ay Khorn,Cambodia,726543872,Stub,15497000
294,Oung Ouen,Cambodia,726688556,Stub,15497000
295,List of Deputy Prime Ministers of Cambodia,Cambodia,730617957,Stub,15497000
296,Cambodian People's Party–FUNCINPEC coalition agreement,Cambodia,732331264,Stub,15497000
297,Chuop Hell,Cambodia,735512767,Stub,15497000
298,Kong Korm,Cambodia,736093077,Stub,15497000
299,Chan Nak,Cambodia,736538934,Stub,15497000
300,Huy Kanthoul,Cambodia,736539294,Stub,15497000
301,Vorn Vet,Cambodia,736715950,Stub,15497000
302,Yat Hwaidi,Cambodia,737025619,Stub,15497000
303,Khim Tit,Cambodia,737804996,Stub,15497000
304,Son Chhay,Cambodia,738180794,Start,15497000
305,Kep Chuktema,Cambodia,738478052,Start,15497000
306,Nuth Rumduol,Cambodia,738512371,Stub,15497000
307,Norodom Phurissara,Cambodia,738987957,Start,15497000
308,Daran Kravanh,Cambodia,738989624,Stub,15497000
309,Sisowath Monireth,Cambodia,738992094,Start,15497000
310,Sisowath Youtevong,Cambodia,738992441,Stub,15497000
311,Ou Chanrith,Cambodia,739217591,Stub,15497000
312,Yem Ponhearith,Cambodia,741680078,Stub,15497000
313,Chrea Sochenda,Cambodia,741923960,Stub,15497000
314,Vong Kan,Cambodia,742006559,Stub,15497000
315,Yos Son,Cambodia,742067282,Stub,15497000
316,Hun Many,Cambodia,744291790,Stub,15497000
317,Chhean Vam,Cambodia,747052284,Stub,15497000
318,Oum Chheang Sun,Cambodia,747052769,Stub,15497000
319,Norodom Kantol,Cambodia,747053219,Stub,15497000
320,Khieu Rada,Cambodia,747555899,Start,15497000
321,Ieu Koeus,Cambodia,747628491,Stub,15497000
322,Cheng Heng,Cambodia,747784875,Start,15497000
323,Mok Mareth,Cambodia,747945224,Start,15497000
324,Kieng Vang,Cambodia,748137241,Stub,15497000
325,Sisowath Watchayavong,Cambodia,748488170,Stub,15497000
326,Sokhom So,Cambodia,749156496,Stub,15497000
327,Min Sean,Cambodia,749304614,Stub,15497000
328,Y Chhean,Cambodia,749338398,Stub,15497000
329,Poa Bun Sreu,Cambodia,749357713,Stub,15497000
330,Toan Vanthara,Cambodia,749387326,Stub,15497000
331,Sok Soty,Cambodia,749388858,Stub,15497000
332,Pal Sam Oeun,Cambodia,749396845,Stub,15497000
333,Ngor Sovann,Cambodia,749470256,Stub,15497000
334,Kea Sahorn,Cambodia,749510551,Stub,15497000
335,Suos Kanan,Cambodia,749517390,Stub,15497000
336,Im Chhun Lim,Cambodia,749537624,Stub,15497000
337,Tram Iv Teuk,Cambodia,749537772,Stub,15497000
338,Hem Khorn,Cambodia,749561164,Stub,15497000
339,Um Nhanh,Cambodia,749569686,Stub,15497000
340,Poa Try,Cambodia,749570183,Stub,15497000
341,Yim Chhaily,Cambodia,749683882,Stub,15497000
342,Ith Prang,Cambodia,749704384,Stub,15497000
343,Try Chheang Huot,Cambodia,749710492,Stub,15497000
344,Suk Sam Eng,Cambodia,749945690,Stub,15497000
345,Nim Thot,Cambodia,749967879,Stub,15497000
346,Ngin Khorn,Cambodia,749970189,Stub,15497000
347,Sorn Inthor,Cambodia,749977252,Stub,15497000
348,You Hockry,Cambodia,750055098,Stub,15497000
349,Samrith Pech,Cambodia,750074445,Stub,15497000
350,Un Neung,Cambodia,750077042,Stub,15497000
351,Bou Thang,Cambodia,750179637,Stub,15497000
352,Peter Khoy Saukam,Cambodia,751227068,Start,15497000
353,Tuot Saron,Cambodia,752967379,Start,15497000
354,Phoeurng Sackona,Cambodia,752979708,Stub,15497000
355,Nhek Bun Chhay,Cambodia,753086260,Stub,15497000
356,Cheam Yeab,Cambodia,753684881,Stub,15497000
357,Chea Poch,Cambodia,753689952,Stub,15497000
358,Chin Bun Sean,Cambodia,753692176,Stub,15497000
359,Chhim Siek Leng,Cambodia,753695057,Stub,15497000
360,Chea Soth,Cambodia,753711610,Stub,15497000
361,Ke Pauk,Cambodia,754318281,Stub,15497000
362,Kong Sam Ol,Cambodia,754944744,Stub,15497000
363,Pho Proeung,Cambodia,755504987,Stub,15497000
364,San Yun,Cambodia,756129985,Stub,15497000
365,Tiv Ol,Cambodia,756722795,Start,15497000
366,Son Ngoc Thanh,Cambodia,758665997,C,15497000
367,Monovithya Kem,Cambodia,759510662,Stub,15497000
368,Mom Chim Huy,Cambodia,761412104,Stub,15497000
369,Norodom Norindeth,Cambodia,761941416,Start,15497000
370,Hem Heng,Cambodia,763098565,Start,15497000
371,Chum Bunrong,Cambodia,763098588,Stub,15497000
372,Duong Vanna,Cambodia,763316692,Stub,15497000
373,Chhay Tan,Cambodia,763968613,Stub,15497000
374,Keat Chhon,Cambodia,765244120,Stub,15497000
375,Ang Vong Vathana,Cambodia,765375452,Stub,15497000
376,Keo Remy,Cambodia,766576352,Stub,15497000
377,Sun Chanthol,Cambodia,766834612,Start,15497000
378,Khieu Kanharith,Cambodia,766836319,Stub,15497000
379,Chay Saing Yun,Cambodia,767217618,Stub,15497000
380,Ek Sam Ol,Cambodia,767218020,Stub,15497000
381,Ouk Rabun,Cambodia,767867369,Stub,15497000
382,Hun Phoeung,Cambodia,768488633,Stub,15497000
383,Nguon Nhel,Cambodia,769381746,Stub,15497000
384,Khuon Sodary,Cambodia,769381831,Stub,15497000
385,Sok Pheng,Cambodia,769447485,Stub,15497000
386,Say Chhum,Cambodia,769929584,Stub,15497000
387,Im Sothy,Cambodia,771408501,Stub,15497000
388,Eng Chhai Eang,Cambodia,773103096,Stub,15497000
389,Heng Pov,Cambodia,773157273,Start,15497000
390,Him Chhem,Cambodia,773455924,Stub,15497000
391,Ho Non,Cambodia,773694865,Stub,15497000
392,Ho Vann,Cambodia,773695304,Stub,15497000
393,Hul Savorn,Cambodia,774100291,Stub,15497000
394,Pol Hom,Cambodia,776153762,Stub,15497000
395,Thong Khon,Cambodia,777665222,Stub,15497000
396,Hor Namhong,Cambodia,777765537,C,15497000
397,Keo Saphal (Siem Reap politician),Cambodia,778675539,Stub,15497000
398,Keo Saphal (Takeo politician),Cambodia,778675542,Stub,15497000
399,Khek Vandy,Cambodia,778806364,Stub,15497000
400,Khun Haing,Cambodia,778825745,Stub,15497000
401,Khy Taing Lim,Cambodia,778830534,Stub,15497000
402,Kimsour Phirith,Cambodia,778947267,Stub,15497000
403,Kuoch Ky,Cambodia,779440080,Stub,15497000
404,Kuoy Bunroeun,Cambodia,779441002,Stub,15497000
405,Chou Bun Eng,Cambodia,779541149,Start,15497000
406,Ke Sovannaroth,Cambodia,779541334,Stub,15497000
407,Norodom Rattana Devi,Cambodia,779541359,Stub,15497000
408,Norodom Vichara,Cambodia,779541415,Stub,15497000
409,Nin Saphon,Cambodia,779541481,Stub,15497000
410,Tioulong Saumura,Cambodia,779541578,Start,15497000
411,Som Kimsuor,Cambodia,779541650,Stub,15497000
412,Suy Sem,Cambodia,780608915,Stub,15497000
413,Sourn Serey Ratha,Cambodia,780691538,Stub,15497000
414,Ly Son,Cambodia,782622853,Stub,15497000
415,Ly Thuch,Cambodia,782622857,Stub,15497000
416,Son Sann,Cambodia,783107330,C,15497000
417,Mam Bun Neang,Cambodia,783142781,Stub,15497000
418,Chan Sarun,Cambodia,783239117,Stub,15497000
419,Mao Monyvann,Cambodia,783294124,Stub,15497000
420,Men Sam An,Cambodia,784442393,Stub,15497000
421,Mey Norn,Cambodia,784629286,Stub,15497000
422,Sok An,Cambodia,784962640,C,15497000
423,Yem Sambaur,Cambodia,786198076,Start,15497000
424,Yim Sovann,Cambodia,786409843,C,15497000
425,Ek Yi Oun,Cambodia,786826707,Stub,15497000
426,Lu Laysreng,Cambodia,787016670,Stub,15497000
427,Math Ly,Cambodia,787260537,Stub,15497000
428,Chem Widhya,Cambodia,787978108,Start,15497000
429,Pa Socheatvong,Cambodia,788070748,Stub,15497000
430,Governor of Phnom Penh,Cambodia,788070776,Stub,15497000
431,Son Sen,Cambodia,788368060,C,15497000
432,Pen Sovan,Cambodia,788398926,Start,15497000
433,Sak Sutsakhan,Cambodia,788540352,C,15497000
434,Amath Yashya,Cambodia,788758065,Stub,15497000
435,Tong Siv Eng,Cambodia,788799479,Stub,15497000
436,Norodom Chakrapong,Cambodia,788905950,GA,15497000
437,Prak Sokhon,Cambodia,790023943,Start,15497000
438,Khieu Samphan,Cambodia,792012094,C,15497000
439,Sisowath Sirik Matak,Cambodia,792274582,C,15497000
440,Tou Samouth,Cambodia,792731504,Start,15497000
441,Yun Yat,Cambodia,793218721,Stub,15497000
442,Khieu Ponnary,Cambodia,793723115,Start,15497000
443,Cham Prasidh,Cambodia,793746447,Start,15497000
444,Ung Huot,Cambodia,794239262,Start,15497000
445,Veng Sereyvuth,Cambodia,794714434,Stub,15497000
446,Ieng Mouly,Cambodia,795214039,Stub,15497000
447,Pou Sothirak,Cambodia,796696955,Stub,15497000
448,Chea Sim,Cambodia,797224256,C,15497000
449,Hu Nim,Cambodia,797444265,C,15497000
450,Sim Var,Cambodia,797618265,Start,15497000
451,Bin Chhin,Cambodia,797673057,Stub,15497000
452,Sim Ka,Cambodia,798039997,Stub,15497000
453,Hou Yuon,Cambodia,798241496,C,15497000
454,Phiset Phanit,Cambodia,799124051,Stub,15497000
455,Norodom Sihanouk,Cambodia,799302232,FA,15497000
456,Pao Ham Phan,Cambodia,799453681,Stub,15497000
457,Heng Samrin,Cambodia,799719505,Start,15497000
458,Kang Kek Iew,Cambodia,799772448,C,15497000
459,Leng Ngeth,Cambodia,800087187,Stub,15497000
