,page,country,rev_id,quality,FIPS,Name,Type,TimeFrame,Data (M),Population
42341,José Santos Guardiola,Hondura,804133555,Start,,,,,,
42342,José Lino Matute,Hondura,804138803,Stub,,,,,,
42343,José Santiago Bueso,Hondura,804139010,Stub,,,,,,
42344,Francisco de Aguilar (politician),Hondura,804139208,Stub,,,,,,
42345,José Francisco Montes,Hondura,804139258,Stub,,,,,,
42346,Victoriano Castellanos,Hondura,804139730,Start,,,,,,
42347,Francisco Inestroza,Hondura,804139800,Stub,,,,,,
42348,Francisco Cruz Castro,Hondura,804139868,Stub,,,,,,
42349,Marcelino Mejía,Hondura,804140099,Stub,,,,,,
42350,Crescencio Gómez,Hondura,804140159,Stub,,,,,,
42351,Miguel Oquelí Bustillo,Hondura,804140314,Stub,,,,,,
42352,Francisco Bueso,Hondura,804140447,Stub,,,,,,
42353,Gabriela Nuñez,Hondura,804587565,Start,,,,,,
42354,Augusto Coello,Hondura,805055004,Stub,,,,,,
42355,George Romeo Silvestri,Hondura,805248828,Stub,,,,,,
42356,Salvador Nasralla,Hondura,805625721,Start,,,,,,
42357,Edmundo Orellana,Hondura,805984131,Stub,,,,,,
42358,Rafael Pineda Ponce,Hondura,806178799,C,,,,,,
42359,Selvin Laínez,Hondura,806796619,Stub,,,,,,
42360,Ana Julia García,Hondura,806875293,Stub,,,,,,
42361,Francisco Ferrera,Hondura,806948506,Stub,,,,,,
42362,Juan Ángel Arias Boquín,Hondura,807445333,Start,,,,,,
42363,Francisco Zelaya y Ayes,Hondura,807445395,Stub,,,,,,
43150,Vicente Flores,Incan,706771757,Stub,,,,,,
43151,María Sumire,Incan,783850857,Start,,,,,,
43152,Túpac Amaru,Incan,801587917,C,,,,,,
43153,Pachacuti,Incan,803601556,C,,,,,,
43154,Túpac Katari,Incan,804527512,C,,,,,,
43155,Hilaria Supa,Incan,805475200,C,,,,,,
43156,Túpac Amaru II,Incan,806761543,C,,,,,,
43436,Khozh-Ahmed Noukhayev,Chechen,707217873,C,,,,,,
43437,Alibek Delimkhanov,Chechen,762868684,Stub,,,,,,
43438,Beibulat Taimiev,Chechen,765616552,Start,,,,,,
43439,Isa Gendergenoevsky,Chechen,772274868,Stub,,,,,,
43440,Ibragim Khultygov,Chechen,782430810,Stub,,,,,,
43441,Movladi Udugov,Chechen,783907075,C,,,,,,
43442,Doku Zavgayev,Chechen,784167327,Start,,,,,,
43443,Head of the Chechen Republic,Chechen,786231010,Start,,,,,,
43444,Mairbek Sheripov,Chechen,787163671,Stub,,,,,,
43445,Alu Alkhanov,Chechen,789327678,C,,,,,,
43446,Adam Delimkhanov,Chechen,789328171,Start,,,,,,
43447,Aslambek Aslakhanov,Chechen,789949907,Stub,,,,,,
43448,Ruslan Khasbulatov,Chechen,791803238,Start,,,,,,
43449,Sergey Abramov (politician),Chechen,794171049,Stub,,,,,,
43450,Malik Saidullaev,Chechen,794893770,Start,,,,,,
43451,Akhmed Zakayev,Chechen,797214106,B,,,,,,
43452,Sheikh Mansur,Chechen,797258871,Start,,,,,,
43453,Ali Mitayev,Chechen,798580067,Start,,,,,,
43454,Turpal-Ali Atgeriyev,Chechen,801036587,Start,,,,,,
43455,Akhmad Kadyrov,Chechen,802665757,C,,,,,,
43456,Dzhokhar Dudayev,Chechen,802950350,C,,,,,,
43457,Ilyas Akhmadov,Chechen,803177211,Start,,,,,,
43458,Ruslan Gelayev,Chechen,803469952,B,,,,,,
43459,President of Ichkeria,Chechen,804275742,Start,,,,,,
43460,Said-Khasanom Abumuslimov,Chechen,804276832,Stub,,,,,,
43461,Vakha Arsanov,Chechen,804276940,C,,,,,,
43462,Shamil Basayev,Chechen,804277603,B,,,,,,
43463,Supyan Abdullayev,Chechen,804277842,Start,,,,,,
43464,Zelimkhan Yandarbiyev,Chechen,804279009,C,,,,,,
43465,Aslan Maskhadov,Chechen,804279119,C,,,,,,
43466,Dokka Umarov,Chechen,804279341,B,,,,,,
43467,Tapa Tchermoeff,Chechen,804557776,Start,,,,,,
43468,Umar Dzhabrailov,Chechen,805794113,C,,,,,,
43469,Ramzan Kadyrov,Chechen,805869321,FA,,,,,,
43470,Idris Gaibov,Chechen,807180397,Stub,,,,,,
43471,Ruslan Alikhadzhiyev,Chechen,807354708,Start,,,,,,
43472,Ruslan Yamadayev,Chechen,807454176,B,,,,,,
43697,Terry Le Main,Jersey,708727189,Start,,,,,,
43698,Paul Routier,Jersey,708727221,Start,,,,,,
43699,Mike Vibert,Jersey,708766654,Start,,,,,,
43700,Sean Power (Jersey),Jersey,710334019,Stub,,,,,,
43701,Leonard Norman,Jersey,710503170,Start,,,,,,
43702,Ben Shenton,Jersey,717911161,Start,,,,,,
43703,Robert Le Masurier,Jersey,720430005,Stub,,,,,,
43704,Kevin C. Lewis,Jersey,722988899,Stub,,,,,,
43705,Rob Duhamel,Jersey,724891592,Stub,,,,,,
43706,Patrick J. D. Ryan,Jersey,725737326,Stub,,,,,,
43707,Philippe de Carteret II,Jersey,737014330,Start,,,,,,
43708,Connétable (Jersey and Guernsey),Jersey,740998059,Start,,,,,,
43709,Alan J. H. Maclean,Jersey,742413962,Stub,,,,,,
43710,Michel Couriard,Jersey,745348113,Start,,,,,,
43711,Guy de Faye,Jersey,754330569,Start,,,,,,
43712,Vernon Tomes,Jersey,766480006,Start,,,,,,
43713,Philip Bailhache,Jersey,773230341,C,,,,,,
43714,Jean Poingdestre,Jersey,773316732,Start,,,,,,
43715,Peter Hanning,Jersey,774568909,Start,,,,,,
43716,Dean of Jersey,Jersey,784051930,Start,,,,,,
43717,"Alexander Coutanche, Baron Coutanche",Jersey,784462137,C,,,,,,
43718,Terry Le Sueur,Jersey,784849252,Stub,,,,,,
43719,Don Filleul,Jersey,786175308,Stub,,,,,,
43720,Augustus Asplet Le Gros,Jersey,787012860,Start,,,,,,
43721,Philippe Langlois,Jersey,787046159,Stub,,,,,,
43722,Sarah Craig Ferguson,Jersey,787955357,Start,,,,,,
43723,Wendy Kinnard,Jersey,787955613,Stub,,,,,,
43724,Iris Le Feuvre,Jersey,787956265,Start,,,,,,
43725,Judy Martin (politician),Jersey,787956300,Stub,,,,,,
43726,Kristina Moore,Jersey,787956364,Start,,,,,,
43727,Susan Pinel,Jersey,787956392,Stub,,,,,,
43728,Shona Pitman,Jersey,787956492,Stub,,,,,,
43729,Anne Pryke,Jersey,787956513,Stub,,,,,,
43730,Corrie Stein,Jersey,787956597,Stub,,,,,,
43731,Tracey Vallois,Jersey,787957954,Stub,,,,,,
43732,"Sir Philip Carteret, 1st Baronet",Jersey,789753704,Stub,,,,,,
43733,"Sir Philip Carteret, 2nd Baronet",Jersey,789753711,Stub,,,,,,
43734,"Henry Carteret, 1st Baron Carteret",Jersey,790484914,C,,,,,,
43735,Frank Walker (Jersey politician),Jersey,792567273,Start,,,,,,
43736,Carolyn Labey,Jersey,793221391,Stub,,,,,,
43737,Cecil Stanley Harrison,Jersey,793405839,Stub,,,,,,
43738,List of Bailiffs of Jersey,Jersey,795069319,Start,,,,,,
43739,John Le Couteur,Jersey,795676915,C,,,,,,
43740,Jim Perchard,Jersey,796095584,Start,,,,,,
43741,Bryan Ian Le Marquand,Jersey,796170389,Start,,,,,,
43742,Andrew Green (Jersey politician),Jersey,797693636,Stub,,,,,,
43743,Geraint Jennings,Jersey,797746493,Start,,,,,,
43744,Ian Gorst,Jersey,798244483,Start,,,,,,
43745,George Carteret,Jersey,799514955,C,,,,,,
43746,Stuart Syvret,Jersey,800714278,GA,,,,,,
43747,Edward Trevor (Jersey),Jersey,801172575,Start,,,,,,
43748,Philip Ozouf Jr,Jersey,801284949,C,,,,,,
43749,Peter Crill,Jersey,802532217,C,,,,,,
43750,"John Carteret, 2nd Earl Granville",Jersey,802912550,C,,,,,,
43751,Darius J. Pearce,Jersey,803416400,C,,,,,,
43752,Alan Simon Crowcroft,Jersey,804372746,Start,,,,,,
43753,William Bailhache,Jersey,805135198,Stub,,,,,,
43754,Michael Birt (barrister),Jersey,805136001,Start,,,,,,
43755,Frank Ereaut,Jersey,805136113,Start,,,,,,
43756,Robert Pipon Marett,Jersey,805136184,Start,,,,,,
43757,Freddie Cohen,Jersey,805499715,C,,,,,,
44412,Mike Torode,Guernsey,710546915,Stub,,,,,,
44413,Laurie Morgan,Guernsey,719122168,Stub,,,,,,
44414,Peter Harwood,Guernsey,722295712,Stub,,,,,,
44415,Martin Storey (politician),Guernsey,722806951,Stub,,,,,,
44416,William Carey (Bailiff of Guernsey),Guernsey,725970969,Stub,,,,,,
44417,David Jones (Guernsey politician),Guernsey,729428763,Stub,,,,,,
44418,Lyndon Trott,Guernsey,742737553,Stub,,,,,,
44419,Jonathan Le Tocq,Guernsey,742872067,Start,,,,,,
44420,Graham Dorey,Guernsey,742872751,Stub,,,,,,
44421,De Vic Carey,Guernsey,748457839,Start,,,,,,
44422,Ambrose Sherwill,Guernsey,768625520,C,,,,,,
44423,Geoffrey Rowland,Guernsey,784691815,Start,,,,,,
44424,List of Bailiffs of Guernsey,Guernsey,784770354,Start,,,,,,
44425,Diane Lewis (Guernsey legislator),Guernsey,787954113,Stub,,,,,,
44426,Wendy Morgan (politician),Guernsey,787954138,Stub,,,,,,
44427,Peter de Havilland,Guernsey,788446515,C,,,,,,
44428,Gavin St Pier,Guernsey,789938377,Stub,,,,,,
44429,Francis Weston,Guernsey,791169532,C,,,,,,
44430,Richard Collas,Guernsey,792424069,Start,,,,,,
44431,Victor Carey,Guernsey,793355768,C,,,,,,
44432,Daniel de Lisle Brock,Guernsey,798315235,C,,,,,,
44433,Richard Weston (treasurer),Guernsey,802409654,C,,,,,,
44434,Havilland de Sausmarez,Guernsey,804532628,Start,,,,,,
44435,Edmund Andros,Guernsey,805755298,B,,,,,,
44884,Joseph Lambert Eustace,Saint Vincent and the Grenadines,716335437,Start,,,,,,
44885,Duvalle,Saint Vincent and the Grenadines,725462724,Start,,,,,,
44886,Charles Antrobus,Saint Vincent and the Grenadines,739296460,Stub,,,,,,
44887,David Emmanuel Jack,Saint Vincent and the Grenadines,745928420,Stub,,,,,,
44888,Sydney Gun-Munro,Saint Vincent and the Grenadines,762906552,Stub,,,,,,
44889,Frederick Ballantyne,Saint Vincent and the Grenadines,770827509,C,,,,,,
44890,Terrance Ollivierre,Saint Vincent and the Grenadines,770829069,Start,,,,,,
44891,Milton Cato,Saint Vincent and the Grenadines,771015590,Start,,,,,,
44892,Henry Harvey Williams,Saint Vincent and the Grenadines,784724223,Start,,,,,,
44893,Monica Dacon,Saint Vincent and the Grenadines,784784479,Stub,,,,,,
44894,Camillo Gonsalves,Saint Vincent and the Grenadines,787976333,Start,,,,,,
44895,Alphonso Theodore Roberts,Saint Vincent and the Grenadines,788672768,Start,,,,,,
44896,Arnhim Eustace,Saint Vincent and the Grenadines,789761357,C,,,,,,
44897,Joseph Chatoyer,Saint Vincent and the Grenadines,795283194,Start,,,,,,
44898,Louis Straker,Saint Vincent and the Grenadines,795343481,Start,,,,,,
44899,List of Prime Ministers of Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,797760926,Start,,,,,,
44900,Ebenezer Joshua,Saint Vincent and the Grenadines,798864996,Start,,,,,,
44901,James Fitz-Allen Mitchell,Saint Vincent and the Grenadines,800257111,Start,,,,,,
44902,Inga Rhonda King,Saint Vincent and the Grenadines,800881284,Start,,,,,,
44903,Governor-General of Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,801288101,Start,,,,,,
44904,Ralph Gonsalves,Saint Vincent and the Grenadines,804164057,C,,,,,,
44905,Stanislav Kochiev,South Ossetian,717215546,Start,,,,,,
44906,Valeriy Hubulov,South Ossetian,717241760,Start,,,,,,
44907,Rostislav Khugayev,South Ossetian,721687759,Start,,,,,,
44908,Boris Chochiev,South Ossetian,748071193,Stub,,,,,,
44909,Yury Morozov,South Ossetian,749962491,Start,,,,,,
44910,Aleksandr Shavlokhov,South Ossetian,760473086,Stub,,,,,,
44911,Merab Chigoev,South Ossetian,760473130,Stub,,,,,,
44912,Gerasim Khugayev,South Ossetian,760473192,Start,,,,,,
44913,Igor Sanakoyev,South Ossetian,760473237,Stub,,,,,,
44914,Zurab Kokoyev,South Ossetian,760473273,Stub,,,,,,
44915,Lyudvig Chibirov,South Ossetian,766130279,Stub,,,,,,
44916,Aslanbek Bulatsev,South Ossetian,789950396,Start,,,,,,
44917,President of South Ossetia,South Ossetian,795669553,Start,,,,,,
44918,Prime Minister of South Ossetia,South Ossetian,797825875,Start,,,,,,
44919,Leonid Tibilov,South Ossetian,799335775,Start,,,,,,
44920,Eduard Kokoity,South Ossetian,801087048,C,,,,,,
44921,Dmitry Sanakoyev,South Ossetian,801560549,Start,,,,,,
44922,Vadim Brovtsev,South Ossetian,802882186,GA,,,,,,
44923,Tou Travel Ariki,Cook Island,717545630,Stub,,,,,,
44924,Piho Rua,Cook Island,717593716,Start,,,,,,
44925,Robert Woonton,Cook Island,717897925,Start,,,,,,
44926,Ngereteina Puna,Cook Island,719186872,Stub,,,,,,
44927,Tangaroa Tangaroa,Cook Island,737975585,Start,,,,,,
44928,Speaker of the Cook Islands Parliament,Cook Island,755442454,Start,,,,,,
44929,Maria Heather,Cook Island,757064438,Stub,,,,,,
44930,Selina Napa,Cook Island,757064845,Stub,,,,,,
44931,Dorice Reid,Cook Island,757065079,B,,,,,,
44932,Ngai Tupa,Cook Island,757065152,Stub,,,,,,
44933,Cassey Eggelton,Cook Island,757540405,Stub,,,,,,
44934,Norman George,Cook Island,763769083,Start,,,,,,
44935,John Tangi,Cook Island,763769086,Stub,,,,,,
44936,Vai Peua,Cook Island,763769088,Stub,,,,,,
44937,Teariki Heather,Cook Island,763769233,Start,,,,,,
44938,George Angene,Cook Island,763769688,Stub,,,,,,
44939,Albert (Peto) Nicholas,Cook Island,763770488,Stub,,,,,,
44940,Tupou Faireka,Cook Island,763774025,Stub,,,,,,
44941,Mark Brown (Cook Islands),Cook Island,763774066,Stub,,,,,,
44942,Nandi Glassie,Cook Island,763774069,Stub,,,,,,
44943,Apii Piho,Cook Island,763775030,Stub,,,,,,
44944,Winton Pickering,Cook Island,763775034,Stub,,,,,,
44945,Albert Nicholas (Cook Islands),Cook Island,763775035,Stub,,,,,,
44946,Vincent Ingram,Cook Island,763775867,Start,,,,,,
44947,Terepai Maoate Jnr,Cook Island,763775893,Stub,,,,,,
44948,Toanui Isamaela,Cook Island,763776103,Stub,,,,,,
44949,Tangata Vavia,Cook Island,763776191,Start,,,,,,
44950,Taunga Toka,Cook Island,763776193,Stub,,,,,,
44951,Teremoana Tapi Taio,Cook Island,763776229,Stub,,,,,,
44952,Tepure Tapaitau,Cook Island,763776231,Start,,,,,,
44953,Mapu Taia,Cook Island,763776235,Stub,,,,,,
44954,Pupuke Robati,Cook Island,763776270,Start,,,,,,
44955,Wilkie Rasmussen,Cook Island,763776271,Start,,,,,,
44956,Tai Tura,Cook Island,763776737,Stub,,,,,,
44957,Tekii Lazaro,Cook Island,763776768,Stub,,,,,,
44958,Kura Strickland,Cook Island,763776806,Stub,,,,,,
44959,Mii Parima,Cook Island,763776808,Stub,,,,,,
44960,Joe Williams (Cook Islands politician),Cook Island,763776856,Start,,,,,,
44961,Kiriau Turepu,Cook Island,763776860,Stub,,,,,,
44962,Inatio Akaruru,Cook Island,766806728,Start,,,,,,
44963,Terepai Maoate,Cook Island,767048874,Start,,,,,,
44964,Deputy Prime Minister of the Cook Islands,Cook Island,767048881,Start,,,,,,
44965,Atatoa Herman,Cook Island,767994335,Stub,,,,,,
44966,Kete Ioane,Cook Island,778717694,Start,,,,,,
44967,Niki Rattle,Cook Island,778789714,Stub,,,,,,
44968,Frederick Tutu Goodwin,Cook Island,784686871,Start,,,,,,
44969,Ngamau Munokoa,Cook Island,784786128,Start,,,,,,
44970,Henry Puna,Cook Island,786648340,C,,,,,,
44971,Moana Ioane,Cook Island,787050138,Stub,,,,,,
44972,Marguerite Story,Cook Island,787227714,Start,,,,,,
44973,Apenera Short,Cook Island,788240713,Start,,,,,,
44974,Mana Strickland,Cook Island,788499686,Start,,,,,,
44975,William (Smiley) Heather,Cook Island,788897273,Start,,,,,,
44976,Rose Toki-Brown,Cook Island,788897549,Stub,,,,,,
44977,Teina Bishop,Cook Island,788898457,Start,,,,,,
44978,Pumati Israela,Cook Island,788899523,Stub,,,,,,
44979,Robert Wigmore,Cook Island,794802546,Start,,,,,,
44980,Pukeiti Pukeiti,Cook Island,794802590,Stub,,,,,,
44981,John Henry (Cook Islands politician),Cook Island,797303432,Stub,,,,,,
44982,Geoffrey Henry,Cook Island,797303508,Start,,,,,,
44983,Albert Henry (politician),Cook Island,797303536,C,,,,,,
44984,Jim Marurai,Cook Island,799769949,C,,,,,,
44985,Pa Tepaeru Terito Ariki,Cook Island,805657875,C,,,,,,
44986,Tom Marsters,Cook Island,806739780,Start,,,,,,
45127,Hilal Al Sarmi,Omani,717915660,Stub,,,,,,
45128,Mohammed Al Rumhi,Omani,722258362,Stub,,,,,,
45129,Yahya Al Khusaibi,Omani,726862168,Stub,,,,,,
45130,Sayyid Badr bin Hamad bin Hamood AlBusaidi,Omani,729426899,Start,,,,,,
45131,Fahd bin Mahmoud al Said,Omani,757164616,Stub,,,,,,
45132,Rawya Saud Al Busaidi,Omani,760558966,Stub,,,,,,
45133,"Azzan bin Qais, Sultan of Muscat and Oman",Omani,767183600,Stub,,,,,,
45134,Taimur bin Feisal,Omani,767885927,Start,,,,,,
45135,"Turki bin Said, Sultan of Muscat and Oman",Omani,774877670,Stub,,,,,,
45136,Badr bin Saud al Busaidi,Omani,783116680,Stub,,,,,,
45137,"Salim bin Thuwaini, Sultan of Muscat and Oman",Omani,787929352,Start,,,,,,
45138,Rahila Al Riyami,Omani,788828342,Stub,,,,,,
45139,List of rulers of Oman,Omani,789761641,B,,,,,,
45140,Malek Bin Sulaiman Al Ma'amari,Omani,794599835,Stub,,,,,,
45141,"Said bin Sultan, Sultan of Muscat and Oman",Omani,794725141,C,,,,,,
45142,Yusuf bin Alawi bin Abdullah,Omani,797805284,Start,,,,,,
45143,Samira bint Mohamed Al-Moosa,Omani,797947292,Stub,,,,,,
45144,Moosa AbdulRahman Hassan,Omani,799540696,C,,,,,,
45145,Abdullah Al Saidi,Omani,801364408,Stub,,,,,,
45146,Said bin Taimur,Omani,802317488,C,,,,,,
45147,"Faisal bin Turki, Sultan of Muscat and Oman",Omani,803929525,Start,,,,,,
45148,"Thuwaini bin Said, Sultan of Muscat and Oman",Omani,806665440,Stub,,,,,,
45149,Qaboos bin Said al Said,Omani,806904421,C,,,,,,
45150,Haitham bin Tariq Al Said,Omani,807451487,Stub,,,,,,
45199,John Allen (diplomat),Tokelauan,720435378,Stub,,,,,,
45200,Neil Walter,Tokelauan,732100626,Start,,,,,,
45201,Tim Francis,Tokelauan,744394596,Stub,,,,,,
45202,Duncan MacIntyre (New Zealand politician),Tokelauan,770994352,C,,,,,,
45203,Russell Marshall,Tokelauan,771460602,C,,,,,,
45204,Guy Powles,Tokelauan,786375181,C,,,,,,
45205,Salesio Lui,Tokelauan,790644183,Stub,,,,,,
45206,Kuresa Nasau,Tokelauan,790644216,Stub,,,,,,
45207,Patuki Isaako,Tokelauan,790644404,Stub,,,,,,
45208,Kolouei O'Brien,Tokelauan,790647368,Stub,,,,,,
45209,Afega Gaualofa,Tokelauan,795631781,Stub,,,,,,
45210,Siopili Perez,Tokelauan,795633170,Stub,,,,,,
45211,David Payton,Tokelauan,799209983,Stub,,,,,,
45212,Head of Government of Tokelau,Tokelauan,801375710,Start,,,,,,
45213,Falima Teao,Tokelauan,801630990,Stub,,,,,,
45214,Jonathan Kings,Tokelauan,806257719,Stub,,,,,,
45215,Administrator of Tokelau,Tokelauan,806258588,Start,,,,,,
45235,Themba N. Masuku,Swaziland,723121670,Stub,,,,,,
45236,Moses Mathendele Dlamini,Swaziland,747579157,Start,,,,,,
45237,Constance Simelane,Swaziland,757540600,C,,,,,,
45238,Ntfombi of Swaziland,Swaziland,785654533,C,,,,,,
45239,Bheki Dlamini,Swaziland,790010530,Stub,,,,,,
45240,Bhekimpi Dlamini,Swaziland,790010540,Stub,,,,,,
45241,Jameson Mbilini Dlamini,Swaziland,790010556,Stub,,,,,,
45242,Lutfo Dlamini,Swaziland,790010558,Stub,,,,,,
45243,Mabandla Dlamini,Swaziland,790010563,Stub,,,,,,
45244,Makhosini Dlamini,Swaziland,790010573,Stub,,,,,,
45245,Mphiwa Dlamini,Swaziland,790010577,Stub,,,,,,
45246,Obed Dlamini,Swaziland,790010578,Stub,,,,,,
45247,Paul Dlamini,Swaziland,790010579,Stub,,,,,,
45248,Themba Dlamini,Swaziland,790010705,Stub,,,,,,
45249,Njabulo Mabuza,Swaziland,790010716,Stub,,,,,,
45250,Charles Myeza,Swaziland,790010723,Stub,,,,,,
45251,Sishayi Nxumalo,Swaziland,790010729,Stub,,,,,,
45252,Paul Shabangu,Swaziland,790010732,Stub,,,,,,
45253,Trusty Gina,Swaziland,790010783,Stub,,,,,,
45254,Marwick Khumalo,Swaziland,790010820,Stub,,,,,,
45255,Prince Sozisa Dlamini,Swaziland,790090661,B,,,,,,
45256,Andreas Fakudze,Swaziland,790636139,Stub,,,,,,
45257,Ndumiso Mamba,Swaziland,793428048,Stub,,,,,,
45258,Dzeliwe of Swaziland,Swaziland,796256782,Start,,,,,,
45259,Ben Nsibandze,Swaziland,797494822,Stub,,,,,,
45260,List of Prime Ministers of Swaziland,Swaziland,797904256,Start,,,,,,
45261,Barnabas Sibusiso Dlamini,Swaziland,798454144,Start,,,,,,
45262,Sotsha Dlamini,Swaziland,800650407,Stub,,,,,,
45263,Labotsibeni Mdluli,Swaziland,802149787,C,,,,,,
45264,Tsandzile Dlamini,Swaziland,804656330,Start,,,,,,
45265,Maphevu Dlamini,Swaziland,807175486,Stub,,,,,,
45266,Karim Mammadbeyov,Dagestani,723563977,Start,,,,,,
45267,Aziz Aliyev,Dagestani,785202362,C,,,,,,
45268,Mukhu Aliyev,Dagestani,785532389,Start,,,,,,
45269,Magomedali Magomedov,Dagestani,789329935,Start,,,,,,
45270,Magomedsalam Magomedov,Dagestani,792949749,Start,,,,,,
45271,Sagid Murtazaliev,Dagestani,796896055,Start,,,,,,
45272,Head of the Republic of Dagestan,Dagestani,803611453,Start,,,,,,
45273,List of Danish High Commissioners in Greenland,Greenlandic,728026000,Stub,,,,,,
45274,Gunnar Martens,Greenlandic,742150479,Stub,,,,,,
45275,Sara Olsvig,Greenlandic,756830216,Stub,,,,,,
45276,Kathrine Chemnitz,Greenlandic,757102071,Start,,,,,,
45277,Augusta Salling,Greenlandic,757103267,Stub,,,,,,
45278,Agathe Fontain,Greenlandic,757539811,Stub,,,,,,
45279,Ane Hansen (politician),Greenlandic,757539958,Stub,,,,,,
45280,Asii Chemnitz Narup,Greenlandic,763742018,Stub,,,,,,
45281,Aleqa Hammond,Greenlandic,770757601,Start,,,,,,
45282,Katrine Larsen Lenner,Greenlandic,778461046,Stub,,,,,,
45283,Maliina Abelsen,Greenlandic,780537008,Start,,,,,,
45284,Agnethe Davidsen,Greenlandic,787423025,Stub,,,,,,
45285,Mimi Karlsen,Greenlandic,806560929,Stub,,,,,,
45380,Alan Parastaev,Ossetian,743018109,Start,,,,,,
45381,Taymuraz Mamsurov,Ossetian,757343822,Start,,,,,,
45382,Head of the Republic of North Ossetia-Alania,Ossetian,774555176,Stub,,,,,,
45383,Akhsarbek Galazov,Ossetian,782634776,Start,,,,,,
45384,Alexander Dzasokhov,Ossetian,789328182,Start,,,,,,
45385,Alla Dzhioyeva,Ossetian,796950389,C,,,,,,
45386,Tamerlan Aguzarov,Ossetian,804609900,Stub,,,,,,
45387,Anatoly Bibilov,Ossetian,806832826,Start,,,,,,
45424,Leilani Reklai,Palauan,757106724,Stub,,,,,,
45425,Antonio Bells,Palauan,762610456,Stub,,,,,,
45426,Haruo Remeliik,Palauan,764341685,Stub,,,,,,
45427,Roman Tmetuchl,Palauan,765032190,GA,,,,,,
45428,Vice President of Palau,Palauan,765102210,Stub,,,,,,
45429,Surangel Whipps Jr.,Palauan,767195006,Stub,,,,,,
45430,Alfonso Oiterong,Palauan,773405868,Stub,,,,,,
45431,Johnson Toribiong,Palauan,777304756,Start,,,,,,
45432,Kerai Mariur,Palauan,778679721,Stub,,,,,,
45433,President of Palau,Palauan,782714724,Stub,,,,,,
45434,Kuniwo Nakamura,Palauan,786992351,Start,,,,,,
45435,Tommy Remengesau,Palauan,788566799,C,,,,,,
45436,Thomas Remengesau Sr.,Palauan,788566961,Stub,,,,,,
45437,Ngiratkel Etpison,Palauan,788567219,Start,,,,,,
45438,Raynold Oilouch,Palauan,789983618,Stub,,,,,,
45439,Lazarus Salii,Palauan,790011394,Stub,,,,,,
45440,Sandra Pierantozzi,Palauan,790423026,Stub,,,,,,
45441,Elias Camsek Chin,Palauan,795139723,Start,,,,,,
45442,Akiko Sugiyama,Palauan,797884160,Stub,,,,,,
45443,Baklai Temengil,Palauan,805961817,Start,,,,,,
45489,List of Presidents of Somaliland,Somaliland,792010538,Start,,,,,,
45490,Dahir Riyale Kahin,Somaliland,798692052,Start,,,,,,
45491,Adan Ahmed Elmi,Somaliland,804143605,Stub,,,,,,
45492,Muhammad Haji Ibrahim Egal,Somaliland,805840190,C,,,,,,
45493,Hediya Yousef,Rojava,805873719,C,,,,,,
45494,Mansur Selum,Rojava,805873803,Stub,,,,,,
45495,,,,,EH,Western Sahara,Country,2019.0,0.597,597000.0
45496,,,,,CI,Cote d'Ivoire,Country,2019.0,26.175,26175000.0
45497,,,,,YT,Mayotte,Country,2019.0,0.284,284000.0
45498,,,,,RE,Reunion,Country,2019.0,0.861,861000.0
45499,,,,,CD,"Congo, Dem. Rep.",Country,2019.0,89.568,89568000.0
45500,,,,,SZ,eSwatini,Country,2019.0,1.104,1104000.0
45501,,,,,SV,El Salvador,Country,2019.0,6.481,6481000.0
45502,,,,,HN,Honduras,Country,2019.0,9.864,9864000.0
45503,,,,,CW,Curacao,Country,2019.0,0.155,155000.0
45504,,,,,PR,Puerto Rico,Country,2019.0,3.189,3189000.0
45505,,,,,KN,St. Kitts-Nevis,Country,2019.0,0.054,54000.0
45506,,,,,LC,Saint Lucia,Country,2019.0,0.182,182000.0
45507,,,,,VC,St. Vincent and the Grenadines,Country,2019.0,0.111,111000.0
45508,,,,,GE,Georgia,Country,2019.0,3.715,3715000.0
45509,,,,,OM,Oman,Country,2019.0,4.713,4713000.0
45510,,,,,BN,Brunei,Country,2019.0,0.469,469000.0
45511,,,,,TL,Timor-Leste,Country,2019.0,1.318,1318000.0
45512,,,,,HK,"China, Hong Kong SAR",Country,2019.0,7.494,7494000.0
45513,,,,,MO,"China, Macao SAR",Country,2019.0,0.686,686000.0
45514,,,,,CZ,Czechia,Country,2019.0,10.716,10716000.0
45515,,,,,MK,North Macedonia,Country,2019.0,2.08,2080000.0
45516,,,,,PF,French Polynesia,Country,2019.0,0.28,280000.0
45517,,,,,GU,Guam,Country,2019.0,0.175,175000.0
45518,,,,,NC,New Caledonia,Country,2019.0,0.295,295000.0
45519,,,,,PW,Palau,Country,2019.0,0.018,18000.0
45520,,,,,WS,Samoa,Country,2019.0,0.2,200000.0
